Date,City,Total City Frequency,State or Territory,Total Deaths,Perpetrator Deaths,Total Injuries,Perpetrator Injuries,Total Victims,Description,Month
2025-10-19,Pinson,1,Alabama,1,0,3,0,4,"Four people, including two teenagers, are suspected to have been shot by a man at a bonfire after a fight over a girl escalated into a shooting. A teenage girl suffered severe injuries that left her brain dead, and two days later she was taken off life support.[37][38][39]",10.0
2025-10-19,Dallas,7,Texas,0,0,4,0,4,Four people were injured in Old East Dallas when a person returned to a gathering they had been asked to leave and opened fire.[40],10.0
2025-10-20,Buena Park,1,California,0,0,4,0,4,Three juveniles and an adult were shot inside a vehicle overnight.[36],10.0
2025-10-20,Dover,2,Delaware,0,0,4,0,4,Four men were injured in a late-evening drive-by shooting in Dover.[35],10.0
2025-10-24,Washington,4,District of Columbia,0,0,5,0,5,"Five people, including a teenager, were shot on the campus of Howard University during homecoming activities. None of the victims were students of the school, but one of the victims was a student of Morgan State University, whose football team was scheduled to play Howard University the following day.[33][34]",10.0
2025-10-25,Robeson County,1,North Carolina,2,0,11,0,13,Thirteen people were shot at a large party in a rural area near Maxton. Two people were killed and several others were critically injured.[32],10.0
2025-10-25,Lincoln University,1,Pennsylvania,1,0,6,0,7,A shooting during homecoming festivities at Lincoln University killed a person and injured six others during a tailgate and yardfest event near the school's football field.[31],10.0
2025-10-26,Houston,7,Texas,1,0,3,0,4,One person was killed and three others were injured in a shooting in the Gulfton neighborhood.[30],10.0
2025-10-26,Pasco,1,Washington,0,0,5,0,5,A shooting at a house party stemming from an earlier altercation wounded five people.[29],10.0
2025-10-26,Nashville,3,Tennessee,0,0,4,0,4,"At least one person opened fire on the occupants of two vehicles in the area of McFerrin Park and Cleveland Park, resulting in four people being shot. At least one of the victims returned fire and one of the shot at vehicles crashed.[28]",10.0
2025-10-31,Oklahoma City,2,Oklahoma,0,0,5,0,5,Five juveniles were shot and injured at a Halloween party.[27],10.0
2025-10-31,San Antonio,3,Texas,0,0,4,0,4,Four teenagers were shot during a Halloween party at a home in the Central Los Angeles Heights neighborhood.[26],10.0
2025-11-01,Gretna,1,Florida,1,0,4,0,5,"Multiple people are believed to have opened fire during a memorial service for a homicide victim, killing one person and injuring four others.[21]",11.0
2025-11-01,Sacramento,1,California,0,0,4,0,4,"Four people were shot at an ""illegal"" Halloween party in the Natomas Creek neighborhood.[24]",11.0
2025-11-01,New Haven,1,Connecticut,1,0,3,0,4,"Four people were shot, one fatally, when two people began shooting at each other outside a Dunkin' store. Police said all four of the victims were bystanders.[25]",11.0
2025-11-01,Tucson,2,Arizona,2,0,2,0,4,Two teenagers were killed and two others were injured in a shooting during a large house party.[22][23],11.0
2025-11-02,Montrose-Ghent,1,Ohio,1,0,7,0,8,"Eight people, including several juveniles, were shot at a party being held at an Airbnb rental in Bath Township. A ninth person suffered a leg injury while fleeing the gunfire.[19] Four days later, a critically wounded teenage boy died from his injuries.[20]",11.0
2025-11-02,Chicago,21,Illinois,0,0,4,0,4,Four people were shot in the Lake View neighborhood after a man allegedly got out of a pickup truck and opened fire on them.[18],11.0
2025-11-02,Elk Grove,1,California,1,0,3,0,4,A shooting inside a bar killed a man and injured three others.[17],11.0
2025-11-02,Washington,4,District of Columbia,0,0,5,0,5,Five people were shot in the Gateway neighborhood of northeast DC.[16],11.0
2025-11-02,Cincinnati,1,Ohio,0,0,4,0,4,"A dispute outside a nightclub in the Over-The-Rhine neighborhood escalated into a shooting which injured four, including the owner's nephew.[15]",11.0
2025-11-02,Los Angeles,7,California,0,0,4,0,4,"Four men were shot in the Winnetka neighborhood after another group of men in a car stopped, asked them where they were from, and then opened fire.[14]",11.0
2025-11-07,Wilmington,1,Delaware,0,0,5,0,5,Four men and a woman were shot in the Compton Village neighborhood.[13],11.0
2025-11-08,San Francisco,4,California,0,0,5,0,5,"A fight in the area of Outer Richmond led to a shooting which wounded five people, including at least one teenager.[12]",11.0
,East Cleveland,1,Ohio,2,0,2,0,4,"An officer responding to a report of a domestic dispute was fired upon as he approached the home, wounding him, and the suspect escaped, sparking a manhunt. The suspect's grandfather and brother were found shot to death inside the home. Another officer was shot by the same suspect nearby overnight before the suspect was apprehended a few blocks away.[138]",
